NAME,total_units_2000,state_fips,county_fips
"Greene County, Indiana",15053,18,055
"Hamilton County, Indiana",69478,18,057
"Hancock County, Indiana",21750,18,059
"Harrison County, Indiana",13699,18,061
"Hendricks County, Indiana",39229,18,063
"Henry County, Indiana",20592,18,065
"Howard County, Indiana",37604,18,067
"Huntington County, Indiana",15269,18,069
"Jackson County, Indiana",17137,18,071
"Jasper County, Indiana",11236,18,073
"Jay County, Indiana",9074,18,075
"Jefferson County, Indiana",13386,18,077
"Jennings County, Indiana",11469,18,079
"Johnson County, Indiana",45095,18,081
"Knox County, Indiana",17305,18,083
"Kosciusko County, Indiana",32188,18,085
"LaGrange County, Indiana",12938,18,087
"Lake County, Indiana",194992,18,089
"LaPorte County, Indiana",45621,18,091
"Lawrence County, Indiana",20560,18,093
"Madison County, Indiana",56939,18,095
"Marion County, Indiana",387183,18,097
"Marshall County, Indiana",18099,18,099
"Martin County, Indiana",4729,18,101
"Miami County, Indiana",15299,18,103
"Monroe County, Indiana",50846,18,105
"Montgomery County, Indiana",15678,18,107
"Morgan County, Indiana",25908,18,109
"Newton County, Indiana",5726,18,111
"Noble County, Indiana",18233,18,113
"Ohio County, Indiana",2424,18,115
"Orange County, Indiana",8348,18,117
"Owen County, Indiana",9853,18,119
"Parke County, Indiana",7539,18,121
"Perry County, Indiana",8223,18,123
"Pike County, Indiana",5611,18,125
"Porter County, Indiana",57616,18,127
"Posey County, Indiana",11076,18,129
"Pulaski County, Indiana",5918,18,131
"Putnam County, Indiana",13505,18,133
"Randolph County, Indiana",11775,18,135
"Ripley County, Indiana",10482,18,137
"Rush County, Indiana",7337,18,139
"St. Joseph County, Indiana",107013,18,141
"Scott County, Indiana",9737,18,143
"Shelby County, Indiana",17633,18,145
"Spencer County, Indiana",8333,18,147
"Starke County, Indiana",10201,18,149
"Steuben County, Indiana",17337,18,151
"Sullivan County, Indiana",8804,18,153
"Switzerland County, Indiana",4226,18,155
"Tippecanoe County, Indiana",58343,18,157
"Tipton County, Indiana",6848,18,159
"Union County, Indiana",3077,18,161
"Vanderburgh County, Indiana",76300,18,163
"Vermillion County, Indiana",7405,18,165
"Vigo County, Indiana",45203,18,167
"Wabash County, Indiana",14034,18,169
"Warren County, Indiana",3477,18,171
"Warrick County, Indiana",20546,18,173
"Washington County, Indiana",11191,18,175
"Wayne County, Indiana",30468,18,177
"Wells County, Indiana",10970,18,179
"White County, Indiana",12083,18,181
"Whitley County, Indiana",12545,18,183
"Adair County, Iowa",3690,19,001
"Adams County, Iowa",2109,19,003
"Allamakee County, Iowa",7142,19,005
"Appanoose County, Iowa",6697,19,007
"Audubon County, Iowa",2995,19,009
"Benton County, Iowa",10377,19,011
"Black Hawk County, Iowa",51759,19,013
"Boone County, Iowa",10968,19,015
"Bremer County, Iowa",9337,19,017
"Buchanan County, Iowa",8697,19,019
"Buena Vista County, Iowa",8145,19,021
"Butler County, Iowa",6578,19,023
"Calhoun County, Iowa",5219,19,025
"Carroll County, Iowa",9019,19,027
"Cass County, Iowa",6590,19,029
"Cedar County, Iowa",7570,19,031
"Cerro Gordo County, Iowa",21488,19,033
"Cherokee County, Iowa",5850,19,035
"Chickasaw County, Iowa",5593,19,037
"Clarke County, Iowa",3934,19,039
"Clay County, Iowa",7828,19,041
"Clayton County, Iowa",8619,19,043
"Clinton County, Iowa",21585,19,045
"Crawford County, Iowa",6958,19,047
"Dallas County, Iowa",16529,19,049
"Davis County, Iowa",3530,19,051
"Decatur County, Iowa",3833,19,053
"Delaware County, Iowa",7682,19,055
"Des Moines County, Iowa",18643,19,057
"Dickinson County, Iowa",11375,19,059
"Dubuque County, Iowa",35505,19,061
"Emmet County, Iowa",4889,19,063
"Fayette County, Iowa",9505,19,065
"Floyd County, Iowa",7317,19,067
"Franklin County, Iowa",4763,19,069
"Fremont County, Iowa",3514,19,071
"Greene County, Iowa",4623,19,073
"Grundy County, Iowa",5304,19,075
"Guthrie County, Iowa",5467,19,077
"Hamilton County, Iowa",7082,19,079
"Hancock County, Iowa",5164,19,081
"Hardin County, Iowa",8318,19,083
"Harrison County, Iowa",6602,19,085
"Henry County, Iowa",8246,19,087
"Howard County, Iowa",4327,19,089
"Humboldt County, Iowa",4645,19,091
"Ida County, Iowa",3506,19,093
"Iowa County, Iowa",6545,19,095
"Jackson County, Iowa",8949,19,097
"Jasper County, Iowa",15659,19,099
"Jefferson County, Iowa",7241,19,101
"Johnson County, Iowa",45831,19,103
"Jones County, Iowa",8126,19,105
"Keokuk County, Iowa",5013,19,107
"Kossuth County, Iowa",7605,19,109
"Lee County, Iowa",16612,19,111
"Linn County, Iowa",80551,19,113
"Louisa County, Iowa",5133,19,115
"Lucas County, Iowa",4239,19,117
"Lyon County, Iowa",4758,19,119
"Madison County, Iowa",5661,19,121
"Mahaska County, Iowa",9551,19,123
"Marion County, Iowa",12755,19,125
"Marshall County, Iowa",16324,19,127
"Mills County, Iowa",5671,19,129
"Mitchell County, Iowa",4594,19,131
"Monona County, Iowa",4660,19,133
"Monroe County, Iowa",3588,19,135
"Montgomery County, Iowa",5399,19,137
"Muscatine County, Iowa",16786,19,139
"O'Brien County, Iowa",6509,19,141
"Osceola County, Iowa",3012,19,143
"Page County, Iowa",7302,19,145
"Palo Alto County, Iowa",4631,19,147
"Plymouth County, Iowa",9880,19,149
"Pocahontas County, Iowa",3988,19,151
"Polk County, Iowa",156447,19,153
"Pottawattamie County, Iowa",35761,19,155
"Poweshiek County, Iowa",8556,19,157
"Ringgold County, Iowa",2789,19,159
"Sac County, Iowa",5460,19,161
"Scott County, Iowa",65649,19,163
"Shelby County, Iowa",5459,19,165
"Sioux County, Iowa",11260,19,167
"Story County, Iowa",30630,19,169
"Tama County, Iowa",7583,19,171
"Taylor County, Iowa",3199,19,173
"Union County, Iowa",5657,19,175
"Van Buren County, Iowa",3581,19,177
"Wapello County, Iowa",15873,19,179
"Warren County, Iowa",15289,19,181
"Washington County, Iowa",8543,19,183
"Wayne County, Iowa",3357,19,185
"Webster County, Iowa",16969,19,187
"Winnebago County, Iowa",5065,19,189
"Winneshiek County, Iowa",8208,19,191
"Woodbury County, Iowa",41394,19,193
"Worth County, Iowa",3534,19,195
"Wright County, Iowa",6559,19,197
"Allen County, Kansas",6449,20,001
"Anderson County, Kansas",3596,20,003
"Atchison County, Kansas",6818,20,005
"Barber County, Kansas",2740,20,007
"Barton County, Kansas",12888,20,009
"Bourbon County, Kansas",7135,20,011
"Brown County, Kansas",4815,20,013
"Butler County, Kansas",23176,20,015
"Chase County, Kansas",1529,20,017
"Chautauqua County, Kansas",2169,20,019
"Cherokee County, Kansas",10031,20,021
"Cheyenne County, Kansas",1636,20,023
"Clark County, Kansas",1111,20,025
"Clay County, Kansas",4084,20,027
"Cloud County, Kansas",4838,20,029
"Coffey County, Kansas",3876,20,031
"Comanche County, Kansas",1088,20,033
"Cowley County, Kansas",15673,20,035
"Crawford County, Kansas",17221,20,037
"Decatur County, Kansas",1821,20,039
"Dickinson County, Kansas",8686,20,041
"Doniphan County, Kansas",3489,20,043
"Douglas County, Kansas",40250,20,045
"Edwards County, Kansas",1754,20,047
"Elk County, Kansas",1860,20,049
"Ellis County, Kansas",12078,20,051
"Ellsworth County, Kansas",3228,20,053
"Finney County, Kansas",13763,20,055
"Ford County, Kansas",11650,20,057
"Franklin County, Kansas",10229,20,059
"Geary County, Kansas",11959,20,061
"Gove County, Kansas",1423,20,063
"Graham County, Kansas",1553,20,065
"Grant County, Kansas",3027,20,067
"Gray County, Kansas",2181,20,069
"Greeley County, Kansas",712,20,071
"Greenwood County, Kansas",4273,20,073
"Hamilton County, Kansas",1211,20,075
"Harper County, Kansas",3270,20,077
"Harvey County, Kansas",13378,20,079
"Haskell County, Kansas",1639,20,081
"Hodgeman County, Kansas",945,20,083
"Jackson County, Kansas",5094,20,085
"Jefferson County, Kansas",7491,20,087
"Jewell County, Kansas",2103,20,089
"Johnson County, Kansas",181612,20,091
"Kearny County, Kansas",1657,20,093
"Kingman County, Kansas",3852,20,095
"Kiowa County, Kansas",1643,20,097
"Labette County, Kansas",10306,20,099
"Lane County, Kansas",1065,20,101
"Leavenworth County, Kansas",24401,20,103
"Lincoln County, Kansas",1853,20,105
"Linn County, Kansas",4720,20,107
"Logan County, Kansas",1423,20,109
"Lyon County, Kansas",14757,20,111
"McPherson County, Kansas",11830,20,113
"Marion County, Kansas",5882,20,115
"Marshall County, Kansas",4999,20,117
"Meade County, Kansas",1968,20,119
"Miami County, Kansas",10984,20,121
"Mitchell County, Kansas",3340,20,123
"Montgomery County, Kansas",17207,20,125
"Morris County, Kansas",3160,20,127
"Morton County, Kansas",1519,20,129
"Nemaha County, Kansas",4340,20,131
"Neosho County, Kansas",7461,20,133
"Ness County, Kansas",1835,20,135
"Norton County, Kansas",2673,20,137
"Osage County, Kansas",7018,20,139
"Osborne County, Kansas",2419,20,141
"Ottawa County, Kansas",2755,20,143
"Pawnee County, Kansas",3114,20,145
"Phillips County, Kansas",3088,20,147
"Pottawatomie County, Kansas",7311,20,149
"Pratt County, Kansas",4633,20,151
"Rawlins County, Kansas",1565,20,153
"Reno County, Kansas",27625,20,155
"Republic County, Kansas",3113,20,157
"Rice County, Kansas",4609,20,159
"Riley County, Kansas",23397,20,161
"Rooks County, Kansas",2758,20,163
"Rush County, Kansas",1928,20,165
"Russell County, Kansas",3871,20,167
"Saline County, Kansas",22695,20,169
"Scott County, Kansas",2291,20,171
"Sedgwick County, Kansas",191133,20,173
"Seward County, Kansas",8027,20,175
"Shawnee County, Kansas",73768,20,177
"Sheridan County, Kansas",1263,20,179
"Sherman County, Kansas",3184,20,181
"Smith County, Kansas",2326,20,183
"Stafford County, Kansas",2458,20,185
"Stanton County, Kansas",1007,20,187
"Stevens County, Kansas",2265,20,189
"Sumner County, Kansas",10877,20,191
"Thomas County, Kansas",3562,20,193
"Trego County, Kansas",1723,20,195
"Wabaunsee County, Kansas",3033,20,197
"Wallace County, Kansas",791,20,199
"Washington County, Kansas",3142,20,201
"Wichita County, Kansas",1119,20,203
"Wilson County, Kansas",4937,20,205
"Woodson County, Kansas",2076,20,207
"Wyandotte County, Kansas",65892,20,209
"Adair County, Kentucky",7792,21,001
"Allen County, Kentucky",8057,21,003
"Anderson County, Kentucky",7752,21,005
"Ballard County, Kentucky",3837,21,007
"Barren County, Kentucky",17095,21,009
"Bath County, Kentucky",4994,21,011
"Bell County, Kentucky",13341,21,013
"Boone County, Kentucky",33351,21,015
"Bourbon County, Kentucky",8349,21,017
"Boyd County, Kentucky",21976,21,019
"Boyle County, Kentucky",11418,21,021
"Bracken County, Kentucky",3715,21,023
"Breathitt County, Kentucky",6812,21,025
"Breckinridge County, Kentucky",9890,21,027
"Bullitt County, Kentucky",23160,21,029
"Butler County, Kentucky",5815,21,031
"Caldwell County, Kentucky",6126,21,033
"Calloway County, Kentucky",16069,21,035
"Campbell County, Kentucky",36898,21,037
"Carlisle County, Kentucky",2490,21,039
"Carroll County, Kentucky",4439,21,041
"Carter County, Kentucky",11534,21,043
"Casey County, Kentucky",7242,21,045
"Christian County, Kentucky",27182,21,047
"Clark County, Kentucky",13749,21,049
"Clay County, Kentucky",9439,21,051
"Clinton County, Kentucky",4888,21,053
"Crittenden County, Kentucky",4410,21,055
"Cumberland County, Kentucky",3567,21,057
"Daviess County, Kentucky",38432,21,059
"Edmonson County, Kentucky",6104,21,061
"Elliott County, Kentucky",3107,21,063
"Estill County, Kentucky",6824,21,065
"Fayette County, Kentucky",116167,21,067
"Fleming County, Kentucky",6120,21,069
"Floyd County, Kentucky",18551,21,071
"Franklin County, Kentucky",21409,21,073
"Fulton County, Kentucky",3697,21,075
"Gallatin County, Kentucky",3362,21,077
"Garrard County, Kentucky",6414,21,079
"Grant County, Kentucky",9306,21,081
"Graves County, Kentucky",16340,21,083
"Grayson County, Kentucky",12802,21,085
"Green County, Kentucky",5420,21,087
"Greenup County, Kentucky",15977,21,089
"Hancock County, Kentucky",3600,21,091
"Hardin County, Kentucky",37673,21,093
"Harlan County, Kentucky",15017,21,095
"Harrison County, Kentucky",7660,21,097
"Hart County, Kentucky",8045,21,099
"Henderson County, Kentucky",19466,21,101
"Henry County, Kentucky",6381,21,103
"Hickman County, Kentucky",2436,21,105
"Hopkins County, Kentucky",20668,21,107
"Jackson County, Kentucky",6065,21,109
"Jefferson County, Kentucky",305835,21,111
"Jessamine County, Kentucky",14646,21,113
"Johnson County, Kentucky",10236,21,115
"Kenton County, Kentucky",63571,21,117
"Knott County, Kentucky",7579,21,119
"Knox County, Kentucky",13999,21,121
"Larue County, Kentucky",5860,21,123
"Laurel County, Kentucky",22317,21,125
"Lawrence County, Kentucky",7040,21,127
"Lee County, Kentucky",3321,21,129
"Leslie County, Kentucky",5502,21,131
"Letcher County, Kentucky",11405,21,133
"Lewis County, Kentucky",6173,21,135
"Lincoln County, Kentucky",10127,21,137
"Livingston County, Kentucky",4772,21,139
"Logan County, Kentucky",11875,21,141
"Lyon County, Kentucky",4189,21,143
"McCracken County, Kentucky",30361,21,145
"McCreary County, Kentucky",7405,21,147
"McLean County, Kentucky",4392,21,149
"Madison County, Kentucky",29595,21,151
"Magoffin County, Kentucky",5447,21,153
"Marion County, Kentucky",7277,21,155
"Marshall County, Kentucky",14730,21,157
"Martin County, Kentucky",5551,21,159
"Mason County, Kentucky",7754,21,161
"Meade County, Kentucky",10293,21,163
"Menifee County, Kentucky",3710,21,165
"Mercer County, Kentucky",9289,21,167
"Metcalfe County, Kentucky",4592,21,169
"Monroe County, Kentucky",5288,21,171
"Montgomery County, Kentucky",9682,21,173
"Morgan County, Kentucky",5487,21,175
"Muhlenberg County, Kentucky",13675,21,177
"Nelson County, Kentucky",14934,21,179
"Nicholas County, Kentucky",3051,21,181
"Ohio County, Kentucky",9909,21,183
"Oldham County, Kentucky",15541,21,185
"Owen County, Kentucky",5345,21,187
"Owsley County, Kentucky",2247,21,189
"Pendleton County, Kentucky",5756,21,191
"Perry County, Kentucky",12741,21,193
"Pike County, Kentucky",30923,21,195
"Powell County, Kentucky",5526,21,197
"Pulaski County, Kentucky",27181,21,199
"Robertson County, Kentucky",1034,21,201
"Rockcastle County, Kentucky",7353,21,203
"Rowan County, Kentucky",8985,21,205
"Russell County, Kentucky",9064,21,207
"Scott County, Kentucky",12977,21,209
"Shelby County, Kentucky",12857,21,211
"Simpson County, Kentucky",7016,21,213
"Spencer County, Kentucky",4555,21,215
"Taylor County, Kentucky",10180,21,217
"Todd County, Kentucky",5121,21,219
"Trigg County, Kentucky",6698,21,221
"Trimble County, Kentucky",3437,21,223
"Union County, Kentucky",6234,21,225
"Warren County, Kentucky",38350,21,227
"Washington County, Kentucky",4542,21,229
"Wayne County, Kentucky",9789,21,231
"Webster County, Kentucky",6250,21,233
"Whitley County, Kentucky",15288,21,235
"Wolfe County, Kentucky",3264,21,237
"Woodford County, Kentucky",9374,21,239
"Acadia Parish, Louisiana",23209,22,001
"Allen Parish, Louisiana",9157,22,003
"Ascension Parish, Louisiana",29172,22,005
"Assumption Parish, Louisiana",9635,22,007
"Avoyelles Parish, Louisiana",16576,22,009
"Beauregard Parish, Louisiana",14501,22,011
"Bienville Parish, Louisiana",7830,22,013
"Bossier Parish, Louisiana",40286,22,015
"Caddo Parish, Louisiana",108296,22,017
"Calcasieu Parish, Louisiana",75995,22,019
"Caldwell Parish, Louisiana",5035,22,021
"Cameron Parish, Louisiana",5336,22,023
"Catahoula Parish, Louisiana",5351,22,025
"Claiborne Parish, Louisiana",7815,22,027
"Concordia Parish, Louisiana",9148,22,029
"De Soto Parish, Louisiana",11204,22,031
"East Baton Rouge Parish, Louisiana",169073,22,033
"East Carroll Parish, Louisiana",3303,22,035
"East Feliciana Parish, Louisiana",7915,22,037
"Evangeline Parish, Louisiana",14258,22,039
"Franklin Parish, Louisiana",8623,22,041
"Grant Parish, Louisiana",8531,22,043
"Iberia Parish, Louisiana",27844,22,045
"Iberville Parish, Louisiana",11953,22,047
"Jackson Parish, Louisiana",7338,22,049
"Jefferson Parish, Louisiana",187907,22,051
"Jefferson Davis Parish, Louisiana",12824,22,053
"Lafayette Parish, Louisiana",78122,22,055
"Lafourche Parish, Louisiana",35045,22,057
"La Salle Parish, Louisiana",6273,22,059
"Lincoln Parish, Louisiana",17000,22,061
"Livingston Parish, Louisiana",36212,22,063
"Madison Parish, Louisiana",4979,22,065
"Morehouse Parish, Louisiana",12711,22,067
"Natchitoches Parish, Louisiana",16890,22,069
"Orleans Parish, Louisiana",215091,22,071
"Ouachita Parish, Louisiana",60154,22,073
"Plaquemines Parish, Louisiana",10481,22,075
"Pointe Coupee Parish, Louisiana",10297,22,077
"Rapides Parish, Louisiana",52038,22,079
"Red River Parish, Louisiana",3988,22,081
"Richland Parish, Louisiana",8335,22,083
"Sabine Parish, Louisiana",13671,22,085
"St. Bernard Parish, Louisiana",26790,22,087
"St. Charles Parish, Louisiana",17430,22,089
"St. Helena Parish, Louisiana",5034,22,091
"St. James Parish, Louisiana",7605,22,093
"St. John the Baptist Parish, Louisiana",15532,22,095
"St. Landry Parish, Louisiana",36216,22,097
"St. Martin Parish, Louisiana",20245,22,099
"St. Mary Parish, Louisiana",21650,22,101
"St. Tammany Parish, Louisiana",75398,22,103
"Tangipahoa Parish, Louisiana",40794,22,105
"Tensas Parish, Louisiana",3359,22,107
"Terrebonne Parish, Louisiana",39928,22,109
"Union Parish, Louisiana",10873,22,111
"Vermilion Parish, Louisiana",22461,22,113
"Vernon Parish, Louisiana",21030,22,115
"Washington Parish, Louisiana",19106,22,117
"Webster Parish, Louisiana",18991,22,119
"West Baton Rouge Parish, Louisiana",8370,22,121
"West Carroll Parish, Louisiana",4980,22,123
"West Feliciana Parish, Louisiana",4485,22,125
"Winn Parish, Louisiana",7502,22,127
"Androscoggin County, Maine",45960,23,001
"Aroostook County, Maine",38719,23,003
"Cumberland County, Maine",122600,23,005
"Franklin County, Maine",19159,23,007
"Hancock County, Maine",33945,23,009
"Kennebec County, Maine",56364,23,011
"Knox County, Maine",21612,23,013
"Lincoln County, Maine",20849,23,015
"Oxford County, Maine",32295,23,017
"Penobscot County, Maine",66847,23,019
"Piscataquis County, Maine",13783,23,021
"Sagadahoc County, Maine",16489,23,023
"Somerset County, Maine",28222,23,025
"Waldo County, Maine",18904,23,027
"Washington County, Maine",21919,23,029
"York County, Maine",94234,23,031
"Allegany County, Maryland",32984,24,001
"Anne Arundel County, Maryland",186937,24,003
"Baltimore County, Maryland",313734,24,005
"Calvert County, Maryland",27576,24,009
"Caroline County, Maryland",12028,24,011
"Carroll County, Maryland",54260,24,013
"Cecil County, Maryland",34461,24,015
"Charles County, Maryland",43903,24,017
"Dorchester County, Maryland",14681,24,019
"Frederick County, Maryland",73017,24,021
"Garrett County, Maryland",16761,24,023
"Harford County, Maryland",83146,24,025
"Howard County, Maryland",92818,24,027
"Kent County, Maryland",9410,24,029
"Montgomery County, Maryland",334632,24,031
"Prince George's County, Maryland",302378,24,033
"Queen Anne's County, Maryland",16674,24,035
"St. Mary's County, Maryland",34081,24,037
"Somerset County, Maryland",10092,24,039
"Talbot County, Maryland",16500,24,041
"Washington County, Maryland",52972,24,043
"Wicomico County, Maryland",34401,24,045
"Worcester County, Maryland",47360,24,047
"Baltimore city, Maryland",300477,24,510
"Barnstable County, Massachusetts",147083,25,001
"Berkshire County, Massachusetts",66301,25,003
"Bristol County, Massachusetts",216918,25,005
"Dukes County, Massachusetts",14836,25,007
"Essex County, Massachusetts",287144,25,009
"Franklin County, Massachusetts",31939,25,011
"Hampden County, Massachusetts",185876,25,013
"Hampshire County, Massachusetts",58644,25,015
"Middlesex County, Massachusetts",576681,25,017
"Nantucket County, Massachusetts",9210,25,019
"Norfolk County, Massachusetts",255154,25,021
"Plymouth County, Massachusetts",181524,25,023
"Suffolk County, Massachusetts",292520,25,025
"Worcester County, Massachusetts",298159,25,027
"Alcona County, Michigan",10584,26,001
"Alger County, Michigan",5964,26,003
"Allegan County, Michigan",43292,26,005
"Alpena County, Michigan",15289,26,007
"Antrim County, Michigan",15090,26,009
"Arenac County, Michigan",9563,26,011
"Baraga County, Michigan",4631,26,013
"Barry County, Michigan",23876,26,015
"Bay County, Michigan",46423,26,017
"Benzie County, Michigan",10312,26,019
"Berrien County, Michigan",73445,26,021
"Branch County, Michigan",19822,26,023
"Calhoun County, Michigan",58691,26,025
"Cass County, Michigan",23884,26,027
"Charlevoix County, Michigan",15370,26,029
"Cheboygan County, Michigan",16583,26,031
"Chippewa County, Michigan",19430,26,033
"Clare County, Michigan",22229,26,035
"Clinton County, Michigan",24630,26,037
"Crawford County, Michigan",10042,26,039
"Delta County, Michigan",19223,26,041
"Dickinson County, Michigan",13702,26,043
"Eaton County, Michigan",42118,26,045
"Emmet County, Michigan",18554,26,047
"Genesee County, Michigan",183630,26,049
"Gladwin County, Michigan",16828,26,051
"Gogebic County, Michigan",10839,26,053
"Grand Traverse County, Michigan",34842,26,055
"Gratiot County, Michigan",15516,26,057
"Hillsdale County, Michigan",20189,26,059
"Houghton County, Michigan",17748,26,061
"Huron County, Michigan",20430,26,063
"Ingham County, Michigan",115056,26,065
"Ionia County, Michigan",22006,26,067
"Iosco County, Michigan",20432,26,069
"Iron County, Michigan",8772,26,071
"Isabella County, Michigan",24528,26,073
"Jackson County, Michigan",62906,26,075
"Kalamazoo County, Michigan",99250,26,077
"Kalkaska County, Michigan",10822,26,079
"Kent County, Michigan",224000,26,081
"Keweenaw County, Michigan",2327,26,083
"Lake County, Michigan",13498,26,085
"Lapeer County, Michigan",32732,26,087
"Leelanau County, Michigan",13297,26,089
"Lenawee County, Michigan",39769,26,091
"Livingston County, Michigan",58919,26,093
"Luce County, Michigan",4008,26,095
"Mackinac County, Michigan",9413,26,097
"Macomb County, Michigan",320276,26,099
"Manistee County, Michigan",14272,26,101
"Marquette County, Michigan",32877,26,103
"Mason County, Michigan",16063,26,105
"Mecosta County, Michigan",19593,26,107
"Menominee County, Michigan",13639,26,109
"Midland County, Michigan",33796,26,111
"Missaukee County, Michigan",8621,26,113
"Monroe County, Michigan",56471,26,115
"Montcalm County, Michigan",25900,26,117
"Montmorency County, Michigan",9238,26,119
"Muskegon County, Michigan",68556,26,121
"Newaygo County, Michigan",23202,26,123
"Oakland County, Michigan",492006,26,125
"Oceana County, Michigan",15009,26,127
"Ogemaw County, Michigan",15404,26,129
"Ontonagon County, Michigan",5404,26,131
"Osceola County, Michigan",12853,26,133
"Oscoda County, Michigan",8690,26,135
"Otsego County, Michigan",13375,26,137
"Ottawa County, Michigan",86856,26,139
"Presque Isle County, Michigan",9910,26,141
"Roscommon County, Michigan",23109,26,143
"Saginaw County, Michigan",85505,26,145
"St. Clair County, Michigan",67107,26,147
"St. Joseph County, Michigan",26503,26,149
"Sanilac County, Michigan",21314,26,151
"Schoolcraft County, Michigan",5700,26,153
"Shiawassee County, Michigan",29087,26,155
"Tuscola County, Michigan",23378,26,157
"Van Buren County, Michigan",33975,26,159
"Washtenaw County, Michigan",131069,26,161
"Wayne County, Michigan",826145,26,163
"Wexford County, Michigan",14872,26,165
"Aitkin County, Minnesota",14168,27,001
"Anoka County, Minnesota",108091,27,003
"Becker County, Minnesota",16612,27,005
"Beltrami County, Minnesota",16989,27,007
"Benton County, Minnesota",13460,27,009
"Big Stone County, Minnesota",3171,27,011
"Blue Earth County, Minnesota",21971,27,013
"Brown County, Minnesota",11163,27,015
"Carlton County, Minnesota",13721,27,017
"Carver County, Minnesota",24883,27,019
"Cass County, Minnesota",21286,27,021
"Chippewa County, Minnesota",5855,27,023
"Chisago County, Minnesota",15533,27,025
"Clay County, Minnesota",19746,27,027
"Clearwater County, Minnesota",4114,27,029
"Cook County, Minnesota",4708,27,031
"Cottonwood County, Minnesota",5376,27,033
"Crow Wing County, Minnesota",33483,27,035
"Dakota County, Minnesota",133750,27,037
"Dodge County, Minnesota",6642,27,039
"Douglas County, Minnesota",16694,27,041
"Faribault County, Minnesota",7247,27,043
"Fillmore County, Minnesota",8908,27,045
"Freeborn County, Minnesota",13996,27,047
"Goodhue County, Minnesota",17879,27,049
"Grant County, Minnesota",3098,27,051
"Hennepin County, Minnesota",468824,27,053
"Houston County, Minnesota",8168,27,055
"Hubbard County, Minnesota",12229,27,057
"Isanti County, Minnesota",12062,27,059
"Itasca County, Minnesota",24528,27,061
"Jackson County, Minnesota",5092,27,063
"Kanabec County, Minnesota",6846,27,065
"Kandiyohi County, Minnesota",18415,27,067
"Kittson County, Minnesota",2719,27,069
"Koochiching County, Minnesota",7719,27,071
"Lac qui Parle County, Minnesota",3774,27,073
"Lake County, Minnesota",6840,27,075
"Lake of the Woods County, Minnesota",3238,27,077
"Le Sueur County, Minnesota",10858,27,079
"Lincoln County, Minnesota",3043,27,081
"Lyon County, Minnesota",10298,27,083
"McLeod County, Minnesota",14087,27,085
"Mahnomen County, Minnesota",2700,27,087
"Marshall County, Minnesota",4791,27,089
"Martin County, Minnesota",9800,27,091
"Meeker County, Minnesota",9821,27,093
"Mille Lacs County, Minnesota",10467,27,095
"Morrison County, Minnesota",13870,27,097
"Mower County, Minnesota",16251,27,099
"Murray County, Minnesota",4357,27,101
"Nicollet County, Minnesota",11240,27,103
"Nobles County, Minnesota",8465,27,105
"Norman County, Minnesota",3455,27,107
"Olmsted County, Minnesota",49422,27,109
"Otter Tail County, Minnesota",33862,27,111
"Pennington County, Minnesota",6033,27,113
"Pine County, Minnesota",15353,27,115
"Pipestone County, Minnesota",4434,27,117
"Polk County, Minnesota",14008,27,119
"Pope County, Minnesota",5827,27,121
"Ramsey County, Minnesota",206448,27,123
"Red Lake County, Minnesota",1883,27,125
"Redwood County, Minnesota",7230,27,127
"Renville County, Minnesota",7413,27,129
"Rice County, Minnesota",20061,27,131
"Rock County, Minnesota",4137,27,133
"Roseau County, Minnesota",7101,27,135
"St. Louis County, Minnesota",95800,27,137
"Scott County, Minnesota",31609,27,139
"Sherburne County, Minnesota",22827,27,141
"Sibley County, Minnesota",6024,27,143
"Stearns County, Minnesota",50291,27,145
"Steele County, Minnesota",13306,27,147
"Stevens County, Minnesota",4074,27,149
"Swift County, Minnesota",4821,27,151
"Todd County, Minnesota",11900,27,153
"Traverse County, Minnesota",2199,27,155
"Wabasha County, Minnesota",9066,27,157
"Wadena County, Minnesota",6334,27,159
"Waseca County, Minnesota",7427,27,161
"Washington County, Minnesota",73635,27,163
"Watonwan County, Minnesota",5036,27,165
"Wilkin County, Minnesota",3105,27,167
"Winona County, Minnesota",19551,27,169
"Wright County, Minnesota",34355,27,171
"Yellow Medicine County, Minnesota",4873,27,173
"Adams County, Mississippi",15175,28,001
"Alcorn County, Mississippi",15818,28,003
"Amite County, Mississippi",6446,28,005
"Attala County, Mississippi",8639,28,007
"Benton County, Mississippi",3456,28,009
"Bolivar County, Mississippi",14939,28,011
"Calhoun County, Mississippi",6902,28,013
"Carroll County, Mississippi",4888,28,015
"Chickasaw County, Mississippi",7981,28,017
"Choctaw County, Mississippi",4249,28,019
"Claiborne County, Mississippi",4252,28,021
"Clarke County, Mississippi",8100,28,023
"Clay County, Mississippi",8810,28,025
"Coahoma County, Mississippi",11490,28,027
"Copiah County, Mississippi",11101,28,029
"Covington County, Mississippi",8083,28,031
"DeSoto County, Mississippi",40795,28,033
"Forrest County, Mississippi",29913,28,035
"Franklin County, Mississippi",4119,28,037
"George County, Mississippi",7513,28,039
"Greene County, Mississippi",4947,28,041
"Grenada County, Mississippi",9973,28,043
"Hancock County, Mississippi",21072,28,045
"Harrison County, Mississippi",79636,28,047
"Hinds County, Mississippi",100287,28,049
"Holmes County, Mississippi",8439,28,051
"Humphreys County, Mississippi",4138,28,053
"Issaquena County, Mississippi",877,28,055
"Itawamba County, Mississippi",9804,28,057
